info,vehicle_id,link,record_date,vehicle_type
特斯拉MODEL S 2014款 MODEL S P852016年|2.1万公里|北京49.00万92.50万,63486927@0@0@0&0120000000000057,https://www.guazi.com/bj/2c07988b97ecc9b9x.htm#fr_page=list&fr_pos=city&fr_no=0,2018-12-04,EV
特斯拉MODEL S 2014款 MODEL S P852014年|3.8万公里|上海42.50万急售92.50万急降2.5万,59898815@0@1@0&0120000000000057,https://www.guazi.com/sh/64ff0ff1eb9c7e9ex.htm#fr_page=list&fr_pos=city&fr_no=1,2018-12-04,EV
特斯拉MODEL S 2015款 MODEL S 85D2016年|5.8万公里|惠州63.88万急售88.70万急降1.12万,56557959@0@2@0&0120000000000057,https://www.guazi.com/huizhou/feb38a99893ae77ax.htm#fr_page=list&fr_pos=city&fr_no=2,2018-12-04,EV
江铃集团新能源 江铃E100 2016款 标准型2015年|2.7万公里|南昌1.35万超值急售16.90万急降1500元,58689081@0@3@0&0120000000000057,https://www.guazi.com/nc/9bd42e95f124637dx.htm#fr_page=list&fr_pos=city&fr_no=3,2018-12-04,EV
特斯拉MODEL S 2015款 MODEL S 85D2015年|9.1万公里|苏州49.00万88.70万,33145811@0@4@0&0120000000000057,https://www.guazi.com/su/363f3d52cee218c7x.htm#fr_page=list&fr_pos=city&fr_no=4,2018-12-04,EV
江铃集团新能源 江铃E100 2016款 标准型2017年|0.5万公里|潍坊2.90万超值急售准新车16.90万急降2000元,58760903@0@5@0&0120000000000057,https://www.guazi.com/weifang/39886e2fcb833f56x.htm#fr_page=list&fr_pos=city&fr_no=5,2018-12-04,EV
特斯拉MODEL S 2014款 MODEL S 852015年|6.5万公里|上海43.00万急售79.70万急降2万,62555857@0@6@0&0120000000000057,https://www.guazi.com/sh/c9780db02be4880fx.htm#fr_page=list&fr_pos=city&fr_no=6,2018-12-04,EV
江铃集团新能源 江铃E100 2016款 标准型2016年|9.8万公里|无锡1.50万超值16.90万,60329628@0@7@0&0120000000000057,https://www.guazi.com/wx/200acd0ec12ce376x.htm#fr_page=list&fr_pos=city&fr_no=7,2018-12-04,EV
知豆 2014款 标准型2015年|3.5万公里|武汉1.42万急售11.80万急降800元,60978923@0@8@0&0120000000000057,https://www.guazi.com/wh/744b0c1e613ef959x.htm#fr_page=list&fr_pos=city&fr_no=8,2018-12-04,EV
海马爱尚EV 2017款 EV1602018年|0.1万公里|郑州3.00万超值准新车13.40万,60177154@0@9@0&0120000000000057,https://www.guazi.com/zz/c074f4ca5e63c969x.htm#fr_page=list&fr_pos=city&fr_no=9,2018-12-04,EV
众泰 2014款 云100 舒适型2015年|2.7万公里|青岛1.90万超值急售17.20万急降1000元,60641493@0@10@0&0120000000000057,https://www.guazi.com/qd/520aa3c46db1274cx.htm#fr_page=list&fr_pos=city&fr_no=10,2018-12-04,EV
知豆 2014款 标准型2015年|1.7万公里|重庆2.00万11.80万,62972068@0@11@0&0120000000000057,https://www.guazi.com/cq/8f3f501ac7a139cax.htm#fr_page=list&fr_pos=city&fr_no=11,2018-12-04,EV
江铃集团新能源 江铃E200 2016款 标准型2016年|5.6万公里|南宁2.30万19.50万,62953618@0@12@0&0120000000000057,https://www.guazi.com/nn/2dc9fc44c900b355x.htm#fr_page=list&fr_pos=city&fr_no=12,2018-12-04,EV
江铃集团新能源 江铃E200 2016款 舒适型2017年|0.5万公里|青岛2.60万准新车19.80万,63471268@0@13@0&0120000000000057,https://www.guazi.com/qd/b2317243ad58ccd0x.htm#fr_page=list&fr_pos=city&fr_no=13,2018-12-04,EV
知豆D1 2015款 标准型2015年|1.6万公里|天津1.85万急售17.20万急降1000元,60997047@0@14@0&0120000000000057,https://www.guazi.com/tj/7f3d392710fc584cx.htm#fr_page=list&fr_pos=city&fr_no=14,2018-12-04,EV
知豆 2014款 标准型2015年|3.2万公里|太原1.78万急售11.80万急降700元,60898901@0@15@0&0120000000000057,https://www.guazi.com/ty/0141379b911b4163x.htm#fr_page=list&fr_pos=city&fr_no=15,2018-12-04,EV
北汽新能源 EC系列 2017款 EC180 灵动版2017年|1.3万公里|青岛3.85万急售准新车16.50万急降6500元,62921648@0@16@0&0120000000000057,https://www.guazi.com/qd/c9a59169f0805f29x.htm#fr_page=list&fr_pos=city&fr_no=16,2018-12-04,EV
北汽新能源 EC系列 2017款 EC200 灵动版2017年|0.3万公里|上海4.00万急售准新车17.20万急降3000元,56552341@0@17@0&0120000000000057,https://www.guazi.com/sh/c53df7be50b481c8x.htm#fr_page=list&fr_pos=city&fr_no=17,2018-12-04,EV
江铃集团新能源 江淮iEV6E 2017款 iEV6E 时光版2017年|0.6万公里|合肥3.50万超值准新车12.90万,63754126@0@18@0&0120000000000057,https://www.guazi.com/hf/7ea96e252bb420cex.htm#fr_page=list&fr_pos=city&fr_no=18,2018-12-04,EV
知豆D2 2016款 D22016年|1.4万公里|重庆2.47万17.20万,62259160@0@19@0&0120000000000057,https://www.guazi.com/cq/4dea77e27e30b147x.htm#fr_page=list&fr_pos=city&fr_no=19,2018-12-04,EV
知豆 2014款 标准型2015年|3.9万公里|太原1.80万急售11.80万急降1000元,59134991@0@20@0&0120000000000057,https://www.guazi.com/ty/0a8cdb6d19eae200x.htm#fr_page=list&fr_pos=city&fr_no=20,2018-12-04,EV
知豆D1 2015款 标准型2015年|4.6万公里|青岛2.20万17.20万,62164574@0@21@0&0120000000000057,https://www.guazi.com/qd/73cc8ce42b159f72x.htm#fr_page=list&fr_pos=city&fr_no=21,2018-12-04,EV
北汽新能源EC系列 2017款 EC180 灵动版2018年|100公里|泰安4.20万准新车16.50万,33161084@0@22@0&0120000000000057,https://www.guazi.com/taian/3553f796f0526a42x.htm#fr_page=list&fr_pos=city&fr_no=22,2018-12-04,EV
江淮iEV 2015款 iEV4 豪华智能型2016年|5.1万公里|北京2.80万超值急售16.80万新上架,64008545@0@23@0&0120000000000057,https://www.guazi.com/bj/b33902c62ea2ae2bx.htm#fr_page=list&fr_pos=city&fr_no=23,2018-12-04,EV
江铃集团新能源 江铃E100 2016款 标准型2015年|1.8万公里|南昌1.50万超值16.90万,61241757@0@24@0&0120000000000057,https://www.guazi.com/nc/acd7e526648c3bb6x.htm#fr_page=list&fr_pos=city&fr_no=24,2018-12-04,EV
比亚迪 2017款 秦EV300 旗舰型2018年|200公里|北京13.70万准新车27.80万,59467036@0@25@0&0120000000000057,https://www.guazi.com/bj/9a6507e28a53f9a9x.htm#fr_page=list&fr_pos=city&fr_no=25,2018-12-04,EV
奇瑞QQ3EV 2014款 运动版2015年|4.8万公里|盐城2.09万急售5.10万急降1100元,60239841@0@26@0&0120000000000057,https://www.guazi.com/yancheng/532fb0c04e686b19x.htm#fr_page=list&fr_pos=city&fr_no=26,2018-12-04,EV
北汽新能源 EV系列 2016款 E150EV 经典版2016年|100公里|青岛4.48万17.20万,62952121@0@27@0&0120000000000057,https://www.guazi.com/qd/cc7513977d872d4fx.htm#fr_page=list&fr_pos=city&fr_no=27,2018-12-04,EV
北汽新能源 EC系列 2017款 EC180 灵动版2017年|0.8万公里|邯郸3.60万准新车16.50万,58691994@0@28@0&0120000000000057,https://www.guazi.com/handan/6677196ef17055bex.htm#fr_page=list&fr_pos=city&fr_no=28,2018-12-04,EV
特斯拉Model X 2016款 MODEL X 90D2016年|2.8万公里|宁波70.00万106.90万,40948323@0@29@0&0120000000000057,https://www.guazi.com/nb/02a4b66cc7e9c5d4x.htm#fr_page=list&fr_pos=city&fr_no=29,2018-12-04,EV
特斯拉MODEL S 2014款 MODEL S P852015年|6.8万公里|北京47.50万92.50万,38224080@0@30@0&0120000000000057,https://www.guazi.com/bj/2cda63be5ca8f339x.htm#fr_page=list&fr_pos=city&fr_no=30,2018-12-04,EV
康迪 2016款 K10D2016年|0.5万公里|太原3.00万16.40万新上架,63760264@0@31@0&0120000000000057,https://www.guazi.com/ty/ce646e7b7b8ea8ddx.htm#fr_page=list&fr_pos=city&fr_no=31,2018-12-04,EV
特斯拉Model X 2016款 MODEL X 90D2017年|1.4万公里|上海75.00万准新车106.90万新上架,64045999@0@32@0&0120000000000057,https://www.guazi.com/sh/f0d0e899be61f790x.htm#fr_page=list&fr_pos=city&fr_no=32,2018-12-04,EV
江铃集团新能源 江淮iEV6E 2017款 iEV6E 时光版2018年|100公里|合肥4.90万准新车12.90万,41519748@0@33@0&0120000000000057,https://www.guazi.com/hf/192eba60781cb02cx.htm#fr_page=list&fr_pos=city&fr_no=33,2018-12-04,EV
北汽新能源 EV系列 2016款 EV160 轻快版2016年|4.9万公里|上海3.80万急售19.30万急降2000元,56446977@0@34@0&0120000000000057,https://www.guazi.com/sh/3d585baf5308f9f7x.htm#fr_page=list&fr_pos=city&fr_no=34,2018-12-04,EV
江淮iEV 2014款 iEV42015年|3.5万公里|厦门3.00万超值急售18.40万急降5500元,61668765@0@35@0&0120000000000057,https://www.guazi.com/xm/3724df7cc5222aa4x.htm#fr_page=list&fr_pos=city&fr_no=35,2018-12-04,EV
江铃集团新能源 江淮iEV6E 2017款 iEV6E 时光版2017年|2.0万公里|济宁3.49万超值急售准新车12.90万急降1900元,59266308@0@36@0&0120000000000057,https://www.guazi.com/jining/40714e10fc4af16ax.htm#fr_page=list&fr_pos=city&fr_no=36,2018-12-04,EV
知豆D2 2015款 D22015年|1.0万公里|邢台2.80万17.20万新上架,63907901@0@37@0&0120000000000057,https://www.guazi.com/xingtai/60c5e95c7e2adec6x.htm#fr_page=list&fr_pos=city&fr_no=37,2018-12-04,EV
传祺GA5 2015款 增程式 尊享版2015年|7.8万公里|广州6.28万超值23.80万,52746352@0@38@0&0120000000000057,https://www.guazi.com/gz/940d49a09aca1911x.htm#fr_page=list&fr_pos=city&fr_no=38,2018-12-04,EV
知豆D1 2016款 标准型2017年|0.5万公里|济宁3.50万急售准新车17.20万急降4800元,60717151@0@39@0&0120000000000057,https://www.guazi.com/jining/9956a168285ad910x.htm#fr_page=list&fr_pos=city&fr_no=39,2018-12-04,EV
奇瑞eQ 2017款 豪华型2017年|1.4万公里|北京3.68万超值准新车18.70万,61918395@1@0@0&0120000000000057,https://www.guazi.com/bj/0441ba7151d92567x.htm#fr_page=list&fr_pos=city&fr_no=0,2018-12-04,EV
江淮iEV 2015款 iEV4 豪华型2015年|4.5万公里|上海2.40万超值急售16.60万急降800元,59817081@1@1@0&0120000000000057,https://www.guazi.com/sh/311893dc78287bcdx.htm#fr_page=list&fr_pos=city&fr_no=1,2018-12-04,EV
长安欧尚 奔奔mini-e 2017款 标准型2018年|100公里|唐山3.90万急售准新车9.00万急降6000元,61990050@1@2@0&0120000000000057,https://www.guazi.com/tangshan/449bab1539b1312cx.htm#fr_page=list&fr_pos=city&fr_no=2,2018-12-04,EV
知豆D2 2017款 D2S2017年|1.0万公里|郑州4.70万急售准新车20.50万急降1000元,62776133@1@3@0&0120000000000057,https://www.guazi.com/zz/c9e8aca3e60ed507x.htm#fr_page=list&fr_pos=city&fr_no=3,2018-12-04,EV
江铃集团新能源 江铃E200 2016款 标准型2017年|2.6万公里|杭州2.50万急售准新车19.50万急降3000元,60702035@1@4@0&0120000000000057,https://www.guazi.com/hz/042eead8408684a8x.htm#fr_page=list&fr_pos=city&fr_no=4,2018-12-04,EV
东风风神E30 2015款 E30L2016年|0.5万公里|北京4.00万超值急售21.70万急降5000元,59607787@1@5@0&0120000000000057,https://www.guazi.com/bj/f40479aff27e2c6ax.htm#fr_page=list&fr_pos=city&fr_no=5,2018-12-04,EV
知豆D2 2015款 D22015年|4.6万公里|杭州1.90万超值急售17.20万急降800元,60382021@1@6@0&0120000000000057,https://www.guazi.com/hz/656671343b2c4c1cx.htm#fr_page=list&fr_pos=city&fr_no=6,2018-12-04,EV
长安 奔奔 2017款 纯电动 180公里时尚型2016年|7.7万公里|重庆4.36万急售17.50万急降1400元,60660931@1@7@0&0120000000000057,https://www.guazi.com/cq/0d7d1cf172a819c8x.htm#fr_page=list&fr_pos=city&fr_no=7,2018-12-04,EV
华泰新能源 华泰EV160B 2017款 基本型2018年|700公里|唐山4.00万准新车11.20万新上架,63896020@1@8@0&0120000000000057,https://www.guazi.com/tangshan/b71a514f9e79ec5dx.htm#fr_page=list&fr_pos=city&fr_no=8,2018-12-04,EV
江淮iEV 2015款 iEV52016年|3.5万公里|北京3.50万19.50万,63221127@1@9@0&0120000000000057,https://www.guazi.com/bj/2d7ae61de6b1f0c5x.htm#fr_page=list&fr_pos=city&fr_no=9,2018-12-04,EV
北汽新能源 EC系列 2017款 EC200 灵动版2018年|1.1万公里|深圳4.00万急售准新车17.20万急降5000元,61651270@1@10@0&0120000000000057,https://www.guazi.com/sz/cfcbdbd546e1436bx.htm#fr_page=list&fr_pos=city&fr_no=10,2018-12-04,EV
江铃集团新能源 江淮iEV6E 2017款 iEV6E 时光版2018年|300公里|宜昌4.20万超值急售准新车12.90万急降8000元,59719761@1@11@0&0120000000000057,https://www.guazi.com/yichang/0aa211b560108e82x.htm#fr_page=list&fr_pos=city&fr_no=11,2018-12-04,EV
长安 奔奔 2017款 纯电动 180公里标准型2017年|0.6万公里|宁波5.00万准新车16.80万,61986752@1@12@0&0120000000000057,https://www.guazi.com/nb/9e9949c131bd3aafx.htm#fr_page=list&fr_pos=city&fr_no=12,2018-12-04,EV
江淮iEV 2017款 iEV4 豪华智能型2017年|1.9万公里|天津4.30万超值急售准新车15.00万急降4000元,62602052@1@13@0&0120000000000057,https://www.guazi.com/tj/fd8c7c5b83058bbex.htm#fr_page=list&fr_pos=city&fr_no=13,2018-12-04,EV
江铃集团新能源 江淮iEV6E 2017款 iEV6E 时光版2018年|0.3万公里|惠州3.88万急售准新车12.90万急降1200元,60973806@1@14@0&0120000000000057,https://www.guazi.com/huizhou/8945afbaeeaccb7bx.htm#fr_page=list&fr_pos=city&fr_no=14,2018-12-04,EV
江淮iEV 2015款 iEV4 豪华型2014年|2.3万公里|上海2.40万超值急售16.60万急降1000元,62290283@1@15@0&0120000000000057,https://www.guazi.com/sh/ae933908445c6f1cx.htm#fr_page=list&fr_pos=city&fr_no=15,2018-12-04,EV
江铃集团新能源 江铃E100 2016款 标准型2015年|2.0万公里|襄阳1.66万超值16.90万新上架,63910152@1@16@0&0120000000000057,https://www.guazi.com/xiangyang/35bd4eb41b2b622cx.htm#fr_page=list&fr_pos=city&fr_no=16,2018-12-04,EV
北汽新能源 EV系列 2014款 E150EV 科技版2014年|1.5万公里|济宁3.40万超值25.10万,63684641@1@17@0&0120000000000057,https://www.guazi.com/jining/3c1fbebe53a73abcx.htm#fr_page=list&fr_pos=city&fr_no=17,2018-12-04,EV
北汽新能源 EX系列 2017款 EX260 乐活版2017年|7.7万公里|衡阳6.20万20.90万新上架,63171842@1@18@0&0120000000000057,https://www.guazi.com/hengyang/6da6bb18886348ddx.htm#fr_page=list&fr_pos=city&fr_no=18,2018-12-04,EV
知豆D2 2017款 D2S2017年|0.8万公里|深圳3.00万准新车20.50万,63843401@1@19@0&0120000000000057,https://www.guazi.com/sz/219ddbcc2afc2c90x.htm#fr_page=list&fr_pos=city&fr_no=19,2018-12-04,EV
江铃集团新能源 江铃E200 2016款 标准型2016年|2.5万公里|扬州2.30万急售19.50万急降750元南京过户,59233899@1@20@0&0120000000000057,https://www.guazi.com/yangzhou/5f3bea1a5149af5ex.htm#fr_page=list&fr_pos=city&fr_no=20,2018-12-04,EV
江淮iEV 2015款 iEV52016年|2.7万公里|北京4.50万19.50万,27113041@1@21@0&0120000000000057,https://www.guazi.com/bj/a2bc31c55b84f99ex.htm#fr_page=list&fr_pos=city&fr_no=21,2018-12-04,EV
北汽新能源 EC系列 2017款 EC200 灵动版2017年|0.8万公里|常州5.10万准新车17.20万新上架,63862535@1@22@0&0120000000000057,https://www.guazi.com/changzhou/0512092ced297207x.htm#fr_page=list&fr_pos=city&fr_no=22,2018-12-04,EV
知豆D2 2016款 D2S2016年|900公里|合肥4.00万20.50万,59468926@1@23@0&0120000000000057,https://www.guazi.com/hf/a93c9b2cd3471569x.htm#fr_page=list&fr_pos=city&fr_no=23,2018-12-04,EV
康迪 2016款 K17A 时尚型2017年|1.4万公里|天津3.42万超值急售准新车17.90万急降1800元,59362045@1@24@0&0120000000000057,https://www.guazi.com/tj/28a970e7a19f6d34x.htm#fr_page=list&fr_pos=city&fr_no=24,2018-12-04,EV
东风小康EC36 2017款 基本型2018年|0.1万公里|广州6.50万急售准新车13.80万急降8000元,63421431@1@25@0&0120000000000057,https://www.guazi.com/gz/6f19c99da2349374x.htm#fr_page=list&fr_pos=city&fr_no=25,2018-12-04,EV
北汽新能源 EU系列 2017款 EU260 乐享版2017年|0.9万公里|北京8.50万准新车23.40万,60674086@1@26@0&0120000000000057,https://www.guazi.com/bj/7130837974282732x.htm#fr_page=list&fr_pos=city&fr_no=26,2018-12-04,EV
江铃集团新能源 江淮iEV6E 2017款 iEV6E 时光版2018年|3.7万公里|成都3.70万12.90万,63236945@1@27@0&0120000000000057,https://www.guazi.com/cd/677b58c595ba3c3cx.htm#fr_page=list&fr_pos=city&fr_no=27,2018-12-04,EV
北汽新能源 EV系列 2015款 EV200 轻快版2015年|13.2万公里|上海4.50万22.70万,63736290@1@28@0&0120000000000057,https://www.guazi.com/sh/32b64b6b47eb6487x.htm#fr_page=list&fr_pos=city&fr_no=28,2018-12-04,EV
