licensing_time_data,miles_data,general_transmission_data,make_data,type_data,transmission_data,engine_data,body_structure_data,length_width_height_data,wheelbase_data,total_mass_data,backtrunk_size_data,displacement_data,intake_style_data,cylinder_data,housepower_data,gas_engine_torque_data,fuel_type_data,electric_engine_type_data,battery_type_data,battery_volume_data,battery_power_data,battery_torque_data,endurance_miles_data,vehicle_id,location,model
2016-11,2.15万公里,自动,特斯拉,中大型车,1档固定齿比变速箱,,5门5座掀背车,4970/1964/1445,2960,2108,745-1645,,,,,,,-,-,85,310,600,502,63486927,北京,特斯拉MODEL S 2014款 MODEL S P85
2014-11,3.81万公里,自动,特斯拉,中大型车,1档固定齿比变速箱,,5门5座掀背车,4970/1964/1445,2960,2108,745-1645,,,,,,,-,-,85,310,600,502,59898815,上海,特斯拉MODEL S 2014款 MODEL S P85
2016-04,5.75万公里,自动,特斯拉,中大型车,1档固定齿比变速箱,,5门5座掀背车,4970/1964/1445,2960,2108,745-1645,,,,,,,-,-,85,314.7,-,528,56557959,惠州,特斯拉MODEL S 2015款 MODEL S 85D
2015-12,2.67万公里,自动,江铃集团新能源,微型车,1档固定齿比变速箱,,5门4座两厢车,3427/1565/1450,2260,825,-,,,,,,,电机类型,电池类型,15,20,110,152,58689081,南昌,江铃集团新能源 江铃E100 2016款 标准型
2015-08,9.1万公里,自动,特斯拉,中大型车,1档固定齿比变速箱,,5门5座掀背车,4970/1964/1445,2960,2108,745-1645,,,,,,,-,-,85,314.7,-,528,33145811,苏州,特斯拉MODEL S 2015款 MODEL S 85D
2017-08,0.52万公里,自动,江铃集团新能源,微型车,1档固定齿比变速箱,,5门4座两厢车,3427/1565/1450,2260,825,-,,,,,,,电机类型,电池类型,15,20,110,152,58760903,潍坊,江铃集团新能源 江铃E100 2016款 标准型
2015-10,6.53万公里,自动,特斯拉,中大型车,1档固定齿比变速箱,,5门5座掀背车,4970/1964/1445,2960,2108,745-1645,,,,,,,-,-,85,270,440,502,62555857,上海,特斯拉MODEL S 2014款 MODEL S 85
2016-06,9.8万公里,自动,江铃集团新能源,微型车,1档固定齿比变速箱,,5门4座两厢车,3427/1565/1450,2260,825,-,,,,,,,电机类型,电池类型,15,20,110,152,60329628,无锡,江铃集团新能源 江铃E100 2016款 标准型
2015-11,3.5万公里,自动,知豆电动车,微型车,1档固定齿比变速箱,,3门2座两厢车,2765/1540/1555,1765,670,-,,,,,,,电机类型,电池类型,-,9,82,120,60978923,武汉,知豆 2014款 标准型
2018-05,0.1万公里,自动,海马汽车,微型车,1档固定齿比变速箱,-马力 --,5门4座两厢车,3662/1540/1502,2332,-,-,排量(L),-,--,-,140,国五,,,,,,,60177154,郑州,海马爱尚EV 2017款 EV160
2015-09,2.66万公里,自动,众泰汽车,微型车,1档固定齿比变速箱,,5门4座两厢车,3559/1620/1476,2360,968,-,,,,,,,交流 / 异步,锂离子电池,18,18,120,155,60641493,青岛,众泰 2014款 云100 舒适型
2015-12,1.71万公里,自动,知豆电动车,微型车,1档固定齿比变速箱,,3门2座两厢车,2765/1540/1555,1765,670,-,,,,,,,电机类型,电池类型,-,9,82,120,62972068,重庆,知豆 2014款 标准型
2016-08,5.56万公里,自动,江铃集团新能源,微型车,1档固定齿比变速箱,,5门4座两厢车,3580/1570/1485,2345,980,-,,,,,,,交流 / 异步,三元锂电池,17.3,30,130,152,62953618,南宁,江铃集团新能源 江铃E200 2016款 标准型
2017-06,0.52万公里,自动,江铃集团新能源,微型车,1档固定齿比变速箱,,5门4座两厢车,3580/1570/1485,2345,980,-,,,,,,,交流 / 异步,三元锂电池,17.3,30,130,152,63471268,青岛,江铃集团新能源 江铃E200 2016款 舒适型
2015-05,1.64万公里,自动,知豆电动车,微型车,1档固定齿比变速箱,,3门2座两厢车,2765/1540/1555,1765,670,-,,,,,,,电机类型,电池类型,-,9,85,150,60997047,天津,知豆D1 2015款 标准型
2015-11,3.2万公里,自动,知豆电动车,微型车,1档固定齿比变速箱,,3门2座两厢车,2765/1540/1555,1765,670,-,,,,,,,电机类型,电池类型,-,9,82,120,60898901,太原,知豆 2014款 标准型
2017-04,1.31万公里,自动,北汽新能源,微型车,1档固定齿比变速箱,,5门4座两厢车,3675/1630/1518,2360,1050,-,,,,,,,-,三元锂电池,20.3,30,140,156,62921648,青岛,北汽新能源 EC系列 2017款 EC180 灵动版
2017-12,0.28万公里,自动,北汽新能源,微型车,1档固定齿比变速箱,,5门4座两厢车,3675/1630/1518,2360,-,-,,,,,,,-,三元锂电池,-,36,140,162,56552341,上海,北汽新能源 EC系列 2017款 EC200 灵动版
2017-12,0.62万公里,自动,江淮汽车,微型车,1档固定齿比变速箱,,5门4座两厢车,3630/1670/1475,2390,1150,-,,,,,,,交流 / 异步,磷酸铁锂电池,19.66,60,200,156,63754126,合肥,江铃集团新能源 江淮iEV6E 2017款 iEV6E 时光版
2016-12,1.38万公里,自动,知豆电动车,微型车,1档固定齿比变速箱,,3门2座两厢车,2806/1540/1555,1765,740,-,,,,,,,永磁 / 同步,三元锂电池,18,15,95,155,62259160,重庆,知豆D2 2016款 D2
2015-11,3.85万公里,自动,知豆电动车,微型车,1档固定齿比变速箱,,3门2座两厢车,2765/1540/1555,1765,670,-,,,,,,,电机类型,电池类型,-,9,82,120,59134991,太原,知豆 2014款 标准型
2015-10,4.58万公里,自动,知豆电动车,微型车,1档固定齿比变速箱,,3门2座两厢车,2765/1540/1555,1765,670,-,,,,,,,电机类型,电池类型,-,9,85,150,62164574,青岛,知豆D1 2015款 标准型
