title,car_number,price,new_car_price,licensing_time,miles,license_location,battery_volume,battery_power_data,battery_torque_data,endurance_miles,make,type,record_date,RV_ratio,months
特斯拉MODEL S 2014款 MODEL S 85  ,HC-59009865,400000.0,797000.0,2014-11-01,59500.0,北京,85.0,270.0,440.0,502.0,特斯拉,中大型车,2018-11-28,0.5018820577164367,48
宝马i3 2016款 升级款时尚型(进口)   ,HC-62295477,209000.0,459000.0,2017-12-01,17800.0,沈阳,33.0,125.0,250.0,271.0,宝马(进口),小型车,2018-11-28,0.4553376906318083,11
江淮iEV 2014款 iEV4  ,HC-62063134,23000.0,184000.0,2014-11-01,38000.0,上海,19.2,42.0,170.0,152.0,江淮汽车,小型车,2018-11-28,0.125,48
特斯拉Model X 2016款 Model X P100D   ,HC-58213016,1400000.0,1707000.0,2018-07-01,2400.0,上海,100.0,568.0,967.0,507.0,特斯拉,中大型SUV,2018-11-28,0.8201523140011716,4
江铃集团新能源 江铃E100 2016款 标准型   ,HC-58689081,13500.0,169000.0,2015-12-01,26700.0,南昌,15.0,20.0,110.0,152.0,江铃集团新能源,微型车,2018-11-28,0.07988165680473373,35
江铃集团新能源 江铃E100 2016款 标准型    ,HC-58760903,29000.0,169000.0,2017-08-01,5200.0,潍坊,15.0,20.0,110.0,152.0,江铃集团新能源,微型车,2018-11-28,0.17159763313609466,15
特斯拉MODEL S 2014款 MODEL S 85  ,HC-38181195,510000.0,797000.0,2014-12-01,3600.0,上海,85.0,270.0,440.0,502.0,特斯拉,中大型车,2018-11-28,0.6398996235884568,47
特斯拉MODEL S 2014款 MODEL S P85  ,HC-59898815,450000.0,925000.0,2014-11-01,38100.0,上海,85.0,310.0,600.0,502.0,特斯拉,中大型车,2018-11-28,0.4864864864864865,48
知豆D2 2016款 D2S   ,HC-54858524,24800.0,205000.0,2016-12-01,24200.0,东莞,18.0,15.0,95.0,155.0,知豆电动车,微型车,2018-11-28,0.12097560975609756,23
荣威eRX5 2017款 ERX5 EV400 电动互联网旗舰版    ,HC-61710360,195000.0,306000.0,2018-05-01,18400.0,自贡,48.3,85.0,255.0,320.0,上汽集团,紧凑型SUV,2018-11-28,0.6372549019607843,6
江铃集团新能源 江铃E100 2016款 标准型  ,HC-60329628,15000.0,169000.0,2016-06-01,98000.0,无锡,15.0,20.0,110.0,152.0,江铃集团新能源,微型车,2018-11-28,0.08875739644970414,29
特斯拉MODEL S 2014款 MODEL S P85  ,HC-38224080,475000.0,925000.0,2015-01-01,68100.0,北京,85.0,310.0,600.0,502.0,特斯拉,中大型车,2018-11-28,0.5135135135135135,46
长安欧尚 奔奔mini-e 2017款 标准型   ,HC-59633477,25800.0,90000.0,2017-12-01,17800.0,重庆,17.3,30.0,150.0,151.0,长安汽车,微型车,2018-11-28,0.2866666666666667,11
特斯拉MODEL S 2014款 MODEL S 85  ,HC-62555857,450000.0,797000.0,2015-10-01,65300.0,上海,85.0,270.0,440.0,502.0,特斯拉,中大型车,2018-11-28,0.5646173149309912,37
特斯拉MODEL S 2017款 改款 Model S 100D   ,HC-62567901,880000.0,1160000.0,2017-09-01,21600.0,深圳,100.0,386.0,660.0,579.0,特斯拉,中大型车,2018-11-28,0.7586206896551724,14
特斯拉MODEL S 2016款 MODEL S 60  ,HC-57648401,550000.0,769000.0,2017-06-01,40100.0,上海,60.0,284.8,440.0,400.0,特斯拉,中大型车,2018-11-28,0.7152145643693107,17
腾势 2014款 时尚版  ,HC-61304036,120000.0,401000.0,2015-12-01,35500.0,上海,47.5,86.0,290.0,253.0,腾势汽车,中型车,2018-11-28,0.29925187032418954,35
东风风神E30 2015款 E30L  ,HC-58422106,26000.0,217000.0,2015-12-01,37200.0,武汉,20.5,17.0,64.0,150.0,东风乘用车,微型车,2018-11-28,0.11981566820276497,35
御捷E驰 2017款 标准型  ,HC-59464623,26000.0,166000.0,2016-12-01,22000.0,天津,22.3,15.0,110.0,155.0,御捷新能源,微型车,2018-11-28,0.1566265060240964,23
江淮iEV 2015款 iEV4 豪华型  ,HC-58692835,36000.0,166000.0,2016-03-01,16500.0,呼和浩特,19.2,42.0,170.0,152.0,江淮汽车,小型车,2018-11-28,0.21686746987951808,32
众泰 芝麻 2017款 标准型   ,HC-39309120,33000.0,130000.0,2017-12-01,5500.0,杭州,16.0,30.0,150.0,150.0,众泰汽车,微型车,2018-11-28,0.25384615384615383,11
江铃集团新能源 江铃E200 2016款 标准型   ,HC-59233899,23800.0,195000.0,2016-12-01,25099.999999999996,南京,17.3,30.0,130.0,152.0,江铃集团新能源,微型车,2018-11-28,0.12205128205128205,23
康迪 2016款 K17A 时尚型  ,HC-59362045,36000.0,179000.0,2017-12-01,13799.999999999998,天津,20.0,35.0,165.0,151.0,康迪电动汽车集团,小型车,2018-11-28,0.2011173184357542,11
长安 逸动 2016款 纯电动尊享型    ,HC-58964347,61000.0,264000.0,2017-08-01,10900.0,北京,30.0,90.0,280.0,200.0,长安汽车,紧凑型车,2018-11-28,0.23106060606060605,15
江铃集团新能源 江淮iEV6E 2017款 iEV6E   ,HC-58593148,55000.0,139000.0,2018-02-01,100.0,邯郸,22.0,45.0,175.0,170.0,江淮汽车,微型车,2018-11-28,0.39568345323741005,9
江铃集团新能源 江淮iEV6E 2017款 iEV6E 时光版   ,HC-55242449,42300.00000000001,129000.0,2018-04-01,4900.0,新乡,19.66,60.0,200.0,156.0,江淮汽车,微型车,2018-11-28,0.3279069767441861,7
比亚迪e6 2014款 精英版   ,HC-62079240,105000.0,358000.0,2015-06-01,31400.0,北京,57.0,90.0,450.0,300.0,比亚迪,MPV,2018-11-28,0.29329608938547486,41
北汽新能源 EC系列 2017款 EC180 灵动版    ,HC-56827864,47500.0,165000.0,2018-03-01,2300.0,徐州,20.3,30.0,140.0,156.0,北汽新能源,微型车,2018-11-28,0.2878787878787879,8
江淮iEV 2014款 iEV4  ,HC-58301739,30000.0,184000.0,2015-12-01,25299.999999999996,广州,19.2,42.0,170.0,152.0,江淮汽车,小型车,2018-11-28,0.16304347826086957,35
北汽新能源 EU系列 2017款 EU260 乐途plus版    ,HC-57820589,70000.0,223000.0,2017-12-01,2700.0,南昌,41.4,100.0,260.0,260.0,北汽新能源,紧凑型车,2018-11-28,0.31390134529147984,11
江淮iEV 2015款 iEV4 豪华型  ,HC-59649754,32000.0,166000.0,2015-11-01,45800.0,北京,19.2,42.0,170.0,152.0,江淮汽车,小型车,2018-11-28,0.1927710843373494,36
众泰 2014款 云100 舒适型   ,HC-58635104,18900.0,172000.0,2015-12-01,59400.00000000001,长沙,18.0,18.0,120.0,155.0,众泰汽车,微型车,2018-11-28,0.10988372093023256,35
御捷E行 2018款 标准型   ,HC-62237095,39000.0,148000.0,2017-11-01,9900.0,滨州,22.0,36.0,230.0,153.0,御捷新能源,微型车,2018-11-28,0.2635135135135135,12
众泰E200 2017款 豪华型   ,HC-38610754,45000.0,195000.0,2017-12-01,2000.0,太原,24.52,60.0,180.0,160.0,众泰汽车,微型车,2018-11-28,0.23076923076923078,11
海马@3 2017款 纯电动 舒适型  ,HC-58337888,48000.0,163000.0,2016-12-01,900.0,惠州,26.7,70.0,240.0,202.0,海马汽车,紧凑型车,2018-11-28,0.294478527607362,23
比亚迪e6 2016款 400 精英版  ,HC-61649962,150000.0,358000.0,2016-11-01,6500.0,北京,82.0,90.0,450.0,400.0,比亚迪,MPV,2018-11-28,0.41899441340782123,24
比亚迪 2017款 秦EV300 旗舰型   ,HC-59467036,137000.0,278000.0,2018-06-01,200.0,北京,47.5,160.0,310.0,300.0,比亚迪,紧凑型车,2018-11-28,0.49280575539568344,5
众泰E200 2017款 舒适型   ,HC-57688636,44000.0,200000.0,2017-12-01,4300.0,金华,24.52,60.0,180.0,160.0,众泰汽车,微型车,2018-11-28,0.22,11
长安 逸动 2018款 EV300 尊享型   ,HC-55330395,99000.0,217000.0,2018-07-01,14800.0,重庆,45.0,90.0,280.0,300.0,长安汽车,紧凑型车,2018-11-28,0.45622119815668205,4
江铃集团新能源 江铃E100 2016款 标准型  ,HC-61241757,15000.0,169000.0,2015-08-01,17500.0,南昌,15.0,20.0,110.0,152.0,江铃集团新能源,微型车,2018-11-28,0.08875739644970414,39
比亚迪e6 2016款 400 精英版  ,HC-34968783,150000.0,358000.0,2016-03-01,44900.0,北京,82.0,90.0,450.0,400.0,比亚迪,MPV,2018-11-28,0.41899441340782123,32
众泰 2014款 云100 舒适型  ,HC-57679934,22500.0,172000.0,2015-11-01,14100.0,深圳,18.0,18.0,120.0,155.0,众泰汽车,微型车,2018-11-28,0.1308139534883721,36
知豆D2 2017款 D2S   ,HC-58201750,33000.0,205000.0,2017-04-01,10600.0,郑州,18.0,15.0,90.0,155.0,知豆电动车,微型车,2018-11-28,0.16097560975609757,19
长安 奔奔 2017款 纯电动 180公里标准型    ,HC-59250537,39000.0,168000.0,2017-04-01,25500.0,北京,23.2,55.0,170.0,180.0,长安汽车,微型车,2018-11-28,0.23214285714285715,19
云度π1 2017款 城市乐派型    ,HC-54926142,67000.0,139000.0,2017-12-01,200.0,台州,24.0,55.0,170.0,150.0,云度新能源,小型SUV,2018-11-28,0.48201438848920863,11
长安 奔奔 2017款 纯电动 210公里时尚型  ,HC-38519101,49000.0,181000.0,2017-06-01,9300.0,北京,27.5,55.0,170.0,210.0,长安汽车,微型车,2018-11-28,0.27071823204419887,17
北汽新能源 EV系列 2014款 E150EV 科技版  ,HC-58299881,31000.0,251000.0,2015-05-01,66700.0,上海,25.6,45.0,144.0,150.0,北汽新能源,小型车,2018-11-28,0.12350597609561753,42
江铃集团新能源 江铃E100 2016款 标准型  ,HC-61143435,35000.0,169000.0,2017-08-01,14100.0,苏州,15.0,20.0,110.0,152.0,江铃集团新能源,微型车,2018-11-28,0.20710059171597633,15
江淮iEV 2015款 iEV5  ,HC-59327018,38000.0,195000.0,2015-12-01,35100.0,北京,23.0,50.0,215.0,170.0,江淮汽车,小型车,2018-11-28,0.19487179487179487,35
江淮iEV 2015款 iEV5  ,HC-62130292,40000.0,195000.0,2016-05-01,146100.0,大连,23.0,50.0,215.0,170.0,江淮汽车,小型车,2018-11-28,0.20512820512820512,30
知豆D2 2016款 D2S   ,HC-45078980,35000.0,205000.0,2017-06-01,11500.0,杭州,18.0,15.0,95.0,155.0,知豆电动车,微型车,2018-11-28,0.17073170731707318,17
江铃集团新能源 江淮iEV6E 2017款 iEV6E   ,HC-57615596,50000.0,139000.0,2017-08-01,7900.0,天津,22.0,45.0,175.0,170.0,江淮汽车,微型车,2018-11-28,0.3597122302158273,15
江淮iEV 2015款 iEV5 ,HC-34445196,37000.0,195000.0,2014-12-01,50000.0,合肥,23.0,50.0,215.0,170.0,江淮汽车,小型车,2018-11-28,0.18974358974358974,47
知豆D2 2017款 D2S    ,HC-52663630,33300.0,205000.0,2017-10-01,5100.0,深圳,18.0,15.0,90.0,155.0,知豆电动车,微型车,2018-11-28,0.1624390243902439,13
江铃集团新能源 江淮iEV6E 2017款 iEV6E  ,HC-38432692,44000.0,139000.0,2017-11-01,1600.0,石家庄,22.0,45.0,175.0,170.0,江淮汽车,微型车,2018-11-28,0.31654676258992803,12
