title,car_number,price,new_car_price,licensing_time,miles,license_location,battery_volume,battery_power_data,battery_torque_data,endurance_miles,make,type,record_date
特斯拉MODEL S 2014款 MODEL S 85  ,HC-59009865,?40.00 ,新车指导价79.70万(含税),2014-11,5.95万公里,北京,85.0,270.0,440,502,特斯拉,中大型车,2018-11-28
宝马i3 2016款 升级款时尚型(进口)   ,HC-62295477,?20.90 ,新车指导价45.90万(含税),2017-12,1.78万公里,沈阳,33.0,125.0,250,271,宝马(进口),小型车,2018-11-28
江淮iEV 2014款 iEV4  ,HC-62063134,?2.30 ,新车指导价18.40万(含税),2014-11,3.8万公里,上海,19.2,42.0,170,152,江淮汽车,小型车,2018-11-28
特斯拉MODEL S 2015款 MODEL S 85D   ,HC-32010564,?54.50 ,新车指导价88.70万(含税),2016-03,2.8万公里,北京,85.0,314.7,-,528,特斯拉,中大型车,2018-11-28
特斯拉MODEL S 2014款 MODEL S 85  ,HC-59009865,?40.00 ,新车指导价79.70万(含税),2014-11,5.95万公里,北京,85.0,270.0,440,502,特斯拉,中大型车,2018-11-28
宝马i3 2016款 升级款时尚型(进口)   ,HC-62295477,?20.90 ,新车指导价45.90万(含税),2017-12,1.78万公里,沈阳,33.0,125.0,250,271,宝马(进口),小型车,2018-11-28
江淮iEV 2014款 iEV4  ,HC-62063134,?2.30 ,新车指导价18.40万(含税),2014-11,3.8万公里,上海,19.2,42.0,170,152,江淮汽车,小型车,2018-11-28
特斯拉MODEL S 2015款 MODEL S 85D   ,HC-32010564,?54.50 ,新车指导价88.70万(含税),2016-03,2.8万公里,北京,85.0,314.7,-,528,特斯拉,中大型车,2018-11-28
特斯拉Model X 2016款 Model X P100D   ,HC-58213016,?140.00 ,新车指导价170.70万(含税),2018-07,0.24万公里,上海,100.0,568.0,967,507,特斯拉,中大型SUV,2018-11-28
江铃集团新能源 江铃E100 2016款 标准型   ,HC-58689081,?1.35 ,新车指导价16.90万(含税),2015-12,2.67万公里,南昌,15.0,20.0,110,152,江铃集团新能源,微型车,2018-11-28
江铃集团新能源 江铃E100 2016款 标准型    ,HC-58760903,?2.90 ,新车指导价16.90万(含税),2017-08,0.52万公里,潍坊,15.0,20.0,110,152,江铃集团新能源,微型车,2018-11-28
特斯拉MODEL S 2014款 MODEL S 85  ,HC-38181195,?51.00 ,新车指导价79.70万(含税),2014-12,0.36万公里,上海,85.0,270.0,440,502,特斯拉,中大型车,2018-11-28
特斯拉MODEL S 2014款 MODEL S P85  ,HC-59898815,?45.00 ,新车指导价92.50万(含税),2014-11,3.81万公里,上海,85.0,310.0,600,502,特斯拉,中大型车,2018-11-28
