title,car_number,price,new_car_price,licensing_time,miles,license_location,battery_volume,battery_power_data,battery_torque_data,endurance_miles,make,type
特斯拉MODEL S 2014款 MODEL S 85  ,"车源号：HC-59009865
",?40.00 ,新车指导价79.70万(含税),2014-11,5.95万公里,北京,85,270.0,440,502,特斯拉,中大型车
康迪 2016款 K10D   ,"车源号：HC-54533255
",?1.93 ,新车指导价16.40万(含税),2016-12,0.64万公里,天津,-,35.0,165,151,康迪电动汽车集团,微型车
特斯拉MODEL S 2014款 MODEL S 85   ,"车源号：HC-38181195
",?48.50 ,新车指导价79.70万(含税),2014-12,0.36万公里,上海,85,270.0,440,502,特斯拉,中大型车
知豆D1 2015款 标准型  ,"车源号：HC-57470597
",?1.40 ,新车指导价17.20万(含税),2015-08,2.82万公里,广州,-,9.0,85,150,知豆电动车,微型车
特斯拉MODEL S 2014款 MODEL S P85  ,"车源号：HC-51156669
",?45.00 ,新车指导价92.50万(含税),2014-09,4.74万公里,北京,85,310.0,600,502,特斯拉,中大型车
江淮iEV 2015款 iEV4 豪华型  ,"车源号：HC-59649754
",?3.20 ,新车指导价16.60万(含税),2015-11,4.58万公里,北京,19.2,42.0,170,152,江淮汽车,小型车
云度π1 2017款 城市智派型  ,"车源号：HC-56010640
",?4.50 ,新车指导价14.80万(含税),2017-12,0.73万公里,莆田,24,55.0,170,150,云度新能源,小型SUV
江铃集团新能源 江铃E100 2016款 标准型 ,"车源号：HC-59686382
",?1.10 ,新车指导价16.90万(含税),2015-12,1.73万公里,长春,15,20.0,110,152,江铃集团新能源,微型车
特斯拉MODEL S 2015款 MODEL S P85D  ,"车源号：HC-61018232
",?55.00 ,新车指导价108.50万(含税),2016-08,1.29万公里,上海,85,568.0,-,491,特斯拉,中大型车
Smart smart fortwo 2014款 Electric Drive   ,"车源号：HC-59958293
",?10.50 ,新车指导价25.50万(含税),2018-08,0.14万公里,上海,17.6,55.0,130,145,smart,微型车
特斯拉Model X 2016款 MODEL X 90D   ,"车源号：HC-61328561
",?100.00 ,,2018-01,1.75万公里,太原,90,386.0,-,489,特斯拉,中大型SUV
江铃集团新能源 江铃E100 2016款 标准型  ,"车源号：HC-60329628
",?1.50 ,新车指导价16.90万(含税),2016-06,9.8万公里,无锡,15,20.0,110,152,江铃集团新能源,微型车
宝马i3 2016款 升级款时尚型(进口)   ,"车源号：HC-61132251
",?19.80 ,新车指导价45.90万(含税),2017-12,0.51万公里,北京,33,125.0,250,271,宝马(进口),小型车
江铃集团新能源 江铃E100 2016款 标准型   ,"车源号：HC-58645363
",?1.80 ,新车指导价16.90万(含税),2015-12,1.7万公里,衢州,15,20.0,110,152,江铃集团新能源,微型车
知豆 2014款 标准型 ,"车源号：HC-60615461
",?1.70 ,新车指导价11.80万(含税),2015-03,3.05万公里,湖州,-,9.0,82,120,知豆电动车,微型车
特斯拉MODEL S 2014款 MODEL S P85   ,"车源号：HC-58473054
",?48.00 ,新车指导价92.50万(含税),2014-10,5.29万公里,深圳,85,310.0,600,502,特斯拉,中大型车
长安欧尚 奔奔mini-e 2017款 标准型  ,"车源号：HC-51290077
",?2.80 ,新车指导价9.00万(含税),2017-12,0.97万公里,重庆,17.3,30.0,150,151,长安汽车,微型车
特斯拉Model X 2016款 MODEL X 60D    ,"车源号：HC-41122421
",?66.00 ,新车指导价81.90万(含税),2017-03,1.82万公里,宁波,60,386.0,-,355,特斯拉,中大型SUV
特斯拉MODEL S 2015款 MODEL S 85D  ,"车源号：HC-32010564
",?58.80 ,新车指导价88.70万(含税),2016-03,2.8万公里,北京,85,314.7,-,528,特斯拉,中大型车
特斯拉MODEL S 2014款 MODEL S 85   ,"车源号：HC-55339197
",?52.00 ,新车指导价79.70万(含税),2015-06,5.03万公里,南京,85,270.0,440,502,特斯拉,中大型车
特斯拉MODEL S 2014款 MODEL S P85  ,"车源号：HC-38224080
",?50.00 ,新车指导价92.50万(含税),2015-01,6.81万公里,北京,85,310.0,600,502,特斯拉,中大型车
特斯拉MODEL S 2014款 MODEL S P85  ,"车源号：HC-59898815
",?45.00 ,新车指导价92.50万(含税),2014-11,3.81万公里,上海,85,310.0,600,502,特斯拉,中大型车
知豆D1 2015款 标准型  ,"车源号：HC-60997047
",?1.95 ,新车指导价17.20万(含税),2015-05,1.64万公里,天津,-,9.0,85,150,知豆电动车,微型车
北汽新能源 EC系列 2017款 EC200 灵动版    ,"车源号：HC-56552341
",?4.00 ,新车指导价17.20万(含税),2017-12,0.28万公里,上海,-,36.0,140,162,北汽新能源,微型车
江铃集团新能源 江铃E100 2016款 标准型    ,"车源号：HC-58760903
",?2.90 ,新车指导价16.90万(含税),2017-08,0.52万公里,潍坊,15,20.0,110,152,江铃集团新能源,微型车
众泰 2014款 云100 舒适型   ,"车源号：HC-56203537
",?1.58 ,新车指导价17.20万(含税),2014-12,6.58万公里,长沙,18,18.0,120,155,众泰汽车,微型车
长安欧尚 奔奔mini-e 2017款 标准型    ,"车源号：HC-58634350
",?2.60 ,新车指导价9.00万(含税),2017-10,1.55万公里,重庆,17.3,30.0,150,151,长安汽车,微型车
特斯拉MODEL S 2016款 MODEL S 75D    ,"车源号：HC-38070864
",?65.00 ,新车指导价89.10万(含税),2017-03,0.62万公里,北京,75,386.0,525,490,特斯拉,中大型车
